"order_id","order_date","ship_date","ship_mode","customer_id","address_id","market","region","order_priority"
AE-2011-9160,2011-10-03,2011-10-07,Standard Class,PO-8865,"776d8bd6-8319-400c-8b62-ad9103b5074b",EMEA,EMEA,Medium
AE-2013-1130,2013-10-14,2013-10-14,Same Day,EB-4110,de8b1b5b-672e-4aef-9621-11a5d8848d18,EMEA,EMEA,High
AE-2013-1530,2013-12-31,2014-01-03,Second Class,MY-7380,"6b7a6252-e704-4bc5-bcc3-203fd842b124",EMEA,EMEA,High
AE-2014-2840,2014-11-05,2014-11-08,First Class,PG-8820,f8212d0a-5efa-4797-8f22-48b5002173de,EMEA,EMEA,Critical
AE-2014-3830,2014-12-13,2014-12-19,Standard Class,GH-4665,d40d1405-35bf-42d9-81d5-811c110a07a4,EMEA,EMEA,Medium
AE-2014-4120,2014-03-07,2014-03-11,Standard Class,JD-5790,b78fc9b0-38c3-480f-b17a-b68517d8b825,EMEA,EMEA,Medium
AG-2011-1070,2011-01-10,2011-01-15,Second Class,TH-11235,"856a8c12-45e7-4141-8a41-3d4472376777",Africa,Africa,Medium
AG-2011-1390,2011-08-16,2011-08-21,Standard Class,DH-3675,"8865d149-3135-4b3f-b0d3-92a748dcc7ce",Africa,Africa,Medium
AG-2011-1440,2011-12-15,2011-12-20,Standard Class,DB-3210,"4ae25242-68ab-468b-b975-3e7e7feb373b",Africa,Africa,Medium
AG-2011-2040,2011-01-01,2011-01-06,Standard Class,TB-11280,c53ec0fd-10c8-4f5d-aa83-0c1926fe142c,Africa,Africa,Medium
AG-2011-3090,2011-08-13,2011-08-17,Standard Class,AH-210,f26ace04-1d04-4b62-9581-4c0bcf4ce624,Africa,Africa,Medium
AG-2011-3130,2011-03-11,2011-03-16,Standard Class,AJ-780,"8e5ceb66-aed0-4bdb-ac54-bf97140b3f04",Africa,Africa,Medium
AG-2011-380,2011-03-03,2011-03-09,Standard Class,CC-2370,"1b400adb-d0d9-44e4-a923-2443aa02a553",Africa,Africa,Medium
AG-2011-4410,2011-11-02,2011-11-04,First Class,JH-5985,ca45fa76-1a10-46c2-9790-03d40c364def,Africa,Africa,High
AG-2011-4450,2011-06-15,2011-06-15,Same Day,RS-9765,"23b83354-85a4-4524-bbaf-85aa4c14078f",Africa,Africa,Critical
AG-2011-450,2011-11-07,2011-11-11,Standard Class,BC-1125,"5b07e0ac-fbc2-4034-b5cf-edbee664c7f4",Africa,Africa,Medium
AG-2011-4560,2011-12-20,2011-12-27,Standard Class,EG-3900,f634623a-cdf1-4b46-9a52-3952ceb59ee0,Africa,Africa,Low
AG-2011-500,2011-11-23,2011-11-27,Standard Class,AS-285,"11110e51-bd34-453d-8d6d-4ca7997f4654",Africa,Africa,Medium
AG-2011-60,2011-08-13,2011-08-18,Second Class,TT-11070,"99913cad-f05b-40d3-8959-700b175b89a6",Africa,Africa,Medium
AG-2011-7230,2011-01-07,2011-01-11,Standard Class,AC-420,a330221a-8e1e-47ad-9a4c-fc4be6a39298,Africa,Africa,Medium
AG-2011-7710,2011-05-24,2011-05-27,First Class,BM-1785,"2aedd702-2740-4725-93ca-0f7b5590e22b",Africa,Africa,Critical
AG-2011-8180,2011-02-25,2011-02-25,Same Day,RO-9780,"76385b34-d5de-4191-9d7e-c1eb2d23dabc",Africa,Africa,Critical
AG-2011-8390,2011-07-19,2011-07-24,Standard Class,MW-8220,e5b37d08-891b-4291-b390-8597d872ce6b,Africa,Africa,Medium
AG-2011-8930,2011-12-26,2011-12-27,Same Day,MW-8220,"3b38b4cd-673f-4490-8521-0ccb9d75fc45",Africa,Africa,Medium
AG-2011-9060,2011-12-20,2011-12-25,Standard Class,OT-8730,"6178b58c-d328-4f70-96e1-d62e6b61764c",Africa,Africa,Medium
AG-2011-9610,2011-04-22,2011-04-25,First Class,AA-645,"4521f6a5-8b42-446f-9604-71527c7502c7",Africa,Africa,High
AG-2011-9670,2011-12-22,2011-12-24,First Class,DK-2835,cf2afbba-8643-4f6a-89db-7a0ac1573f13,Africa,Africa,Medium
AG-2011-9890,2011-06-26,2011-07-02,Standard Class,BM-1785,"446cc292-d8ba-4b0f-9b13-4f7d4ab97f13",Africa,Africa,Medium
AG-2012-170,2012-11-30,2012-12-03,Second Class,PF-9165,"895a321c-9f00-485d-959c-ad014d444e78",Africa,Africa,Critical
AG-2012-1940,2012-07-31,2012-08-04,Standard Class,BP-1230,"43526d0e-f003-4eeb-acee-056a073663c9",Africa,Africa,Medium
AG-2012-2200,2012-11-29,2012-12-02,First Class,TS-11505,"630dd9aa-976e-443b-bfee-3c27eabb1738",Africa,Africa,Medium
AG-2012-2220,2012-11-09,2012-11-13,Standard Class,MV-8190,"25780ea7-2a66-4afd-8a61-3adc8d39b013",Africa,Africa,Medium
AG-2012-2220b,2012-12-26,2012-12-30,Standard Class,PO-8865,"9223dba2-b1d7-45f8-9f1a-9ca519218848",Africa,Africa,High
AG-2012-2430,2012-08-31,2012-09-05,Standard Class,CC-2430,"28cc22d3-45fd-41ce-b46c-f1d1c277cc48",Africa,Africa,Medium
AG-2012-3190,2012-05-19,2012-05-24,Standard Class,SZ-10035,"5f7012d3-9d46-4e9d-bf65-5f27b4db7ee7",Africa,Africa,Medium
AG-2012-4060,2012-03-19,2012-03-21,First Class,LM-7065,"04c4532e-0d30-46b7-8e33-6754422b5484",Africa,Africa,Medium
AG-2012-4630,2012-05-28,2012-05-30,Second Class,CP-2340,"1e24a6ce-4100-4c1d-ace8-5a1e019f144e",Africa,Africa,Medium
AG-2012-4750,2012-12-10,2012-12-14,Standard Class,LM-7065,"783f8ae1-ac4e-4fde-943b-dba79781f603",Africa,Africa,Medium
AG-2012-4910,2012-11-16,2012-11-22,Standard Class,KF-6285,cf302433-6a9b-4879-8c05-1b2ced3cdcb0,Africa,Africa,Medium
AG-2012-5400,2012-01-05,2012-01-05,Same Day,RB-9570,"5e4ab568-6f64-4df9-8723-831c1b89ade3",Africa,Africa,High
AG-2012-6020,2012-08-20,2012-08-24,Standard Class,DC-3285,bfbfed32-4eca-4789-8e16-13fb5186027e,Africa,Africa,High
