"order_id","product_id","sales","quantity","discount","profit","shipping_cost"
AE-2011-9160,OFF-FEL-10001405,82.67,2,0.70,-157.09,5.69
AE-2011-9160,TEC-EPS-10004171,78.41,6,0.70,-88.99,3.87
AE-2013-1130,FUR-BUS-10003055,224.75,6,0.70,-232.27,60.08
AE-2013-1130,OFF-ACC-10004278,4.25,1,0.70,-4.69,0.10
AE-2013-1530,OFF-STI-10000114,16.67,2,0.70,-29.47,1.41
AE-2013-1530,OFF-TEN-10002817,6.97,1,0.70,-8.60,1.75
AE-2014-2840,OFF-ROG-10001340,42.48,1,0.70,-75.06,8.04
AE-2014-3830,OFF-AVE-10000357,3.16,1,0.70,-4.97,0.25
AE-2014-3830,OFF-AVE-10004827,3.43,1,0.70,-3.89,0.25
AE-2014-3830,OFF-BIC-10002270,77.26,8,0.70,-82.58,4.08
AE-2014-3830,OFF-ELD-10002297,59.37,1,0.70,-118.77,5.83
AE-2014-3830,OFF-ROG-10003993,42.49,1,0.70,-62.33,2.24
AE-2014-3830,TEC-MOT-10001535,95.80,4,0.70,-156.56,6.73
AE-2014-4120,OFF-HON-10004621,6.43,2,0.70,-11.57,0.49
AG-2011-1070,OFF-HOO-10001783,308.64,1,0.00,61.71,31.41
AG-2011-1390,OFF-IBI-10000440,26.22,2,0.00,1.80,2.41
AG-2011-1390,OFF-SAN-10001237,581.04,12,0.00,220.68,35.32
AG-2011-1440,OFF-AVE-10004909,58.74,2,0.00,20.52,3.04
AG-2011-2040,OFF-TEN-10000025,408.30,2,0.00,106.14,35.46
AG-2011-3090,TEC-CIS-10000436,276.96,2,0.00,11.04,20.15
AG-2011-3130,OFF-JIF-10004450,35.97,1,0.00,7.17,2.83
AG-2011-380,FUR-ELD-10003131,113.28,1,0.00,29.43,9.51
AG-2011-4410,OFF-EAT-10003338,24.72,1,0.00,10.86,4.29
AG-2011-4450,OFF-NOV-10001568,11.37,1,0.00,4.08,3.80
AG-2011-450,OFF-STO-10003604,10.92,1,0.00,4.14,1.05
AG-2011-4560,FUR-DEF-10000572,103.92,2,0.00,0.00,10.87
AG-2011-4560,OFF-CUI-10000105,1111.56,4,0.00,55.56,162.67
AG-2011-4560,TEC-BRO-10003380,260.49,1,0.00,31.23,24.20
AG-2011-500,OFF-WIL-10002153,54.90,2,0.00,15.36,3.48
AG-2011-60,OFF-STO-10000007,10.41,1,0.00,4.26,0.74
AG-2011-7230,OFF-STA-10000244,91.38,2,0.00,14.58,4.36
AG-2011-7710,FUR-SAU-10002255,874.68,2,0.00,148.68,78.70
AG-2011-8180,OFF-ADV-10004598,53.52,4,0.00,12.84,22.06
AG-2011-8180,OFF-ELD-10000845,393.96,2,0.00,78.78,110.60
AG-2011-8180,OFF-NOV-10003180,8.37,1,0.00,0.57,2.14
AG-2011-8180,OFF-SAN-10001681,339.30,10,0.00,37.20,27.29
AG-2011-8180,TEC-EPS-10004558,613.26,2,0.00,202.32,241.33
AG-2011-8390,OFF-ADV-10000308,55.44,4,0.00,19.32,3.98
AG-2011-8930,FUR-HON-10002599,116.04,2,0.00,27.84,9.32
AG-2011-9060,FUR-SAF-10000949,198.09,1,0.00,29.70,12.63
AG-2011-9610,FUR-HAR-10002178,298.68,2,0.00,53.76,47.50
AG-2011-9670,TEC-PAN-10002365,1589.40,6,0.00,349.56,102.07
AG-2011-9890,OFF-SAN-10002441,63.00,4,0.00,6.84,3.98
AG-2011-9890,OFF-STO-10004503,13.32,1,0.00,5.46,0.88
AG-2011-9890,OFF-TEN-10001480,433.92,8,0.00,164.88,15.37
AG-2012-170,OFF-JIF-10000704,8.52,1,0.00,4.08,0.74
AG-2012-170,TEC-BRO-10003401,189.69,1,0.00,37.92,26.80
